"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015980","energy derivation by oxidation of organic compounds","32/366","434/18860",0.0737327188940092,3.79945103371862,8.3001636101674,1.09760988795839e-10,3.24048211537253e-08,2.62804246048012e-08,"IER3/TNF/ATP5F1E/SOD2/DDIT4/COX7C/PPIF/NDUFA3/ATP5ME/COX7A2/ATP5MF/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/NR4A3/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/ALDOA/NDUFS8/NDUFA6/LDHA/PHLDA2/NDUFB5/CYCS/GABARAPL1/STOML2/UQCC2",32
"GO:0006986","response to unfolded protein","19/366","152/18860",0.125,6.44125683060109,9.47527416441955,1.28495639011704e-10,3.52261616090657e-08,2.85685416960608e-08,"PPP1R15A/THBS1/ATF3/HSPA1A/DNAJB1/XBP1/HSPA8/HSP90AA1/HSPE1/HSPH1/DNAJA1/DDIT3/HERPUD1/HSP90AB1/HSPB1/HSPD1/ERN1/CDK5RAP3/MANF",19
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","13/366","68/18860",0.191176470588235,9.85133397621344,10.286346000018,5.36181190716902e-10,1.37190893998098e-07,1.11262300417535e-07,"ATP5F1E/NDUFA3/ATP5ME/ATP5MF/NDUFB1/NDUFA1/NDUFA12/NDUFS5/NDUFB4/NDUFS8/NDUFA6/NDUFB5/STOML2",13
"GO:0006091","generation of precursor metabolites and energy","33/366","494/18860",0.0668016194331984,3.44229109975443,7.73816627724386,7.14103766299752e-10,1.71295640941153e-07,1.38921370851866e-07,"IER3/TNF/ATP5F1E/SOD2/DDIT4/COX7C/PPIF/NDUFA3/ATP5ME/COX7A2/ATP5MF/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/NR4A3/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/ALDOA/NDUFS8/NDUFA6/LDHA/PHLDA2/COX17/NDUFB5/CYCS/GABARAPL1/STOML2/UQCC2",33
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","16/366","115/18860",0.139130434782609,7.16939890710383,9.33541214747402,7.64216205123689e-10,1.72533046780278e-07,1.39924911365371e-07,"ATP5F1E/NDUFA3/ATP5ME/ATP5MF/NDUFB1/NDUFA1/NME2/NDUFA12/NDUFS5/NDUFB4/ALDOA/NDUFS8/NDUFA6/NDUFB5/IMPDH2/STOML2",16
"GO:0009145","purine nucleoside triphosphate biosynthetic process","16/366","116/18860",0.137931034482759,7.10759374411155,9.28223255020385,8.71021951345862e-10,1.85721236070301e-07,1.50620579539749e-07,"ATP5F1E/NDUFA3/ATP5ME/ATP5MF/NDUFB1/NDUFA1/NME2/NDUFA12/NDUFS5/NDUFB4/ALDOA/NDUFS8/NDUFA6/NDUFB5/IMPDH2/STOML2",16
"GO:1901798","positive regulation of signal transduction by p53 class mediator","10/366","36/18860",0.277777777777778,14.3139040680024,11.2482552498144,1.0874645088096e-09,2.04882152402972e-07,1.66160150477384e-07,"PPP1R15A/RPS15/PMAIP1/RPL26/RPL37/RPL11/RPS7/UBB/HEXIM1/CDK5RAP3",10
"GO:0035966","response to topologically incorrect protein","19/366","172/18860",0.11046511627907,5.69227347820562,8.69662158461617,1.0893138768951e-09,2.04882152402972e-07,1.66160150477384e-07,"PPP1R15A/THBS1/ATF3/HSPA1A/DNAJB1/XBP1/HSPA8/HSP90AA1/HSPE1/HSPH1/DNAJA1/DDIT3/HERPUD1/HSP90AB1/HSPB1/HSPD1/ERN1/CDK5RAP3/MANF",19
"GO:1902600","proton transmembrane transport","20/366","192/18860",0.104166666666667,5.36771402550091,8.55737097861989,1.12103314238208e-09,2.04882152402972e-07,1.66160150477384e-07,"ATP5F1E/PPIF/NDUFA3/ATP5ME/COX7A2/ATP5MF/UQCRH/NDUFB1/COX7B/NDUFA1/NDUFA12/SLC25A5/NDUFS5/UQCR10/NDUFB4/NDUFS8/NDUFA6/COX17/NDUFB5/ATP1A1",20
"GO:0042255","ribosome assembly","12/366","60/18860",0.2,10.3060109289617,10.1565147858404,1.44380768891933e-09,2.518788140942e-07,2.04274609384424e-07,"RPS27/RPS28/RPS15/RPL11/RPS19/RPL24/RPL38/NPM1/RPL5/EIF2A/SBDS/DHX30",12
