"gene","avg_log2FC","p_val_adj"
"IFITM3",-3.09655000452158,0
"CCL3",3.33276972828052,0
"TNFAIP3",2.51744079848479,0
"CXCL8",2.00205525781944,0
"CCL4",4.75399135696312,0
"CD83",1.96089598659041,0
"FOLR3",2.62760504842458,0
"CCL3L1",3.5844857439938,0
"IL1B",1.76477378638495,0
"CCL4L2",5.07042142323644,0
