"cell_type","n_PTCB","n_TCB","mean_PTCB","mean_TCB","p_value","adj_p","diff","abs_diff"
"CD14 Mono",5,5,0.118758854011172,0.246969275063258,0.150793650793651,0.703703703703704,-0.128210421052085,0.128210421052085
"CD4 TCM",5,5,0.361958857502469,0.202546279709157,0.222222222222222,0.777777777777778,0.159412577793312,0.159412577793312
"CD4 Naive",5,5,0.0988010982652619,0.136564429219703,0.30952380952381,0.962962962962963,-0.037763330954441,0.037763330954441
"NK",5,5,0.100626928693355,0.122698606666046,0.420634920634921,0.972222222222222,-0.0220716779726905,0.0220716779726905
"CD8 Naive",5,5,0.0831072362514269,0.0626907483686419,0.547619047619048,0.972222222222222,0.020416487882785,0.020416487882785
"Eryth",5,5,0.0190218966157531,0.0274608341994876,0.547619047619048,0.972222222222222,-0.00843893758373448,0.00843893758373448
"B naive",5,5,0.066262999165626,0.0744199018765817,1,1,-0.0081569027109557,0.0081569027109557
"CD8 TEM",5,5,0.026981292884714,0.0266298915674197,1,1,0.000351401317294327,0.000351401317294327
