"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990173","protein localization to nucleoplasm","6/821","14/18860",0.428571428571429,9.84513659300505,7.06290960534685,1.4857306800053e-05,0.000615694530086455,0.000532308653847195,"TCP1/CCT4/CCT2/CCT3/CCT6A/CCT5",6
"GO:0071214","cellular response to abiotic stimulus","34/821","355/18860",0.0957746478873239,2.20013381139455,4.8699441727552,1.49883300084552e-05,0.000615694530086455,0.000532308653847195,"BAG3/RPL26/RELB/SLC38A2/ATF4/CDKN1A/SDE2/CRIP1/ZFP36L1/BBC3/YBX3/IRF1/NPM1/TNF/DDX3X/TGFB1/NINJ1/NET1/ATP1A1/MAP2K3/EGR1/EIF2S1/TRIAP1/NSMCE3/PTGER4/SIRT1/PPID/GATA3/BNIP3/CASP3/BCL10/SMPD1/HRAS/GADD45A",34
"GO:0104004","cellular response to environmental stimulus","34/821","355/18860",0.0957746478873239,2.20013381139455,4.8699441727552,1.49883300084552e-05,0.000615694530086455,0.000532308653847195,"BAG3/RPL26/RELB/SLC38A2/ATF4/CDKN1A/SDE2/CRIP1/ZFP36L1/BBC3/YBX3/IRF1/NPM1/TNF/DDX3X/TGFB1/NINJ1/NET1/ATP1A1/MAP2K3/EGR1/EIF2S1/TRIAP1/NSMCE3/PTGER4/SIRT1/PPID/GATA3/BNIP3/CASP3/BCL10/SMPD1/HRAS/GADD45A",34
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","12/821","64/18860",0.1875,4.30724725943971,5.65390638825097,1.74077946448119e-05,0.000707232865165087,0.00061144960043686,"ANXA1/BRD2/SMAD7/ZC3H12A/CD83/RARA/CD69/IRF4/NFKBID/IL23A/BATF/GATA3",12
"GO:1901798","positive regulation of signal transduction by p53 class mediator","9/821","36/18860",0.25,5.74299634591961,6.07676949452173,1.75161399712776e-05,0.000707232865165087,0.00061144960043686,"PPP1R15A/UBB/RPS7/RPS15/RPL37/RPL11/RPL26/PMAIP1/HEXIM1",9
"GO:2000573","positive regulation of DNA biosynthetic process","10/821","45/18860",0.222222222222222,5.10488564081743,5.88138876476094,1.84420657674524e-05,0.000738307785469874,0.000638315924868112,"TCP1/HSP90AA1/PTGES3/CCT4/CCT2/CCT3/CCT6A/CCT5/TNF/NAF1",10
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","14/821","86/18860",0.162790697674419,3.73962552757556,5.43233698371593,1.93112531307517e-05,0.000766608065459422,0.00066278338918458,"ANXA1/BRD2/SMAD7/ZC3H12A/ARG2/CD83/RARA/CD69/IRF4/NFKBID/CD81/IL23A/BATF/GATA3",14
"GO:0030217","T cell differentiation","32/821","330/18860",0.096969696969697,2.22758646144761,4.79950037497611,2.07266051860993e-05,0.000815937357492776,0.000705431825632152,"SOD1/ANXA1/BRD2/RELB/RPL22/SMAD7/PNP/ZC3H12A/CD83/BCL3/JMJD6/ZFP36L1/GPR183/SOX4/RARA/IRF1/CD69/IRF4/ICOS/CTSL/NFKBID/TGFB1/IL23A/BATF/EGR1/ATF2/SRF/PRR7/LMBR1L/PTGER4/GATA3/CCR7",32
"GO:0032609","type II interferon production","17/821","122/18860",0.139344262295082,3.20101435674208,5.20314409013846,2.15898587963426e-05,0.000835987647163298,0.000722766627522081,"HSPD1/ZC3H12A/DDIT3/BCL3/RARA/TNF/ARID5A/UFC1/PRNP/SLC7A5/IL23A/CEBPG/ISG15/LTA/GATA3/HRAS/CCR7",17
"GO:0032649","regulation of type II interferon production","17/821","122/18860",0.139344262295082,3.20101435674208,5.20314409013846,2.15898587963426e-05,0.000835987647163298,0.000722766627522081,"HSPD1/ZC3H12A/DDIT3/BCL3/RARA/TNF/ARID5A/UFC1/PRNP/SLC7A5/IL23A/CEBPG/ISG15/LTA/GATA3/HRAS/CCR7",17
"GO:0051168","nuclear export","21/821","174/18860",0.120689655172414,2.77248099458188,5.01098056772387,2.32920410360271e-05,0.00089456586873327,0.000773411375436759,"BAG3/RPS15/EIF4A3/RAN/RBM8A/NPM1/NXF1/YWHAE/NXT1/MAGOH/ENY2/TGFB1/DDX39A/ALYREF/RAE1/ALKBH5/RBM22/TXN/RANGAP1/FRAT2/RIOK2",21
