"gene","avg_log2FC","p_val_adj"
"HSPA1A",7.13763908708509,0
"HSPH1",4.85685162369131,0
"AL138963.4",2.01205064628891,0
"TUBB4B",2.86513109458297,0
"MYADM",2.43189466179186,0
"CACYBP",3.19595637555081,0
"PPP1R15A",1.77786623082132,0
"NFKBIA",1.43222378683193,0
"DNAJA1",3.04835717574321,0
"H2AFZ",1.66498700374316,0
