"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
1.62091454136984e-150,0.366441420363363,0.932,0.94,4.07335824246241e-146,"RPL37","CD14 Mono"
1.69498595176544e-150,0.520363198431117,0.881,0.812,4.25949969678654e-146,"RPL36A","CD14 Mono"
2.91902733607086e-145,0.747237270319965,0.815,0.693,7.33551569554607e-141,"TSC22D3","CD14 Mono"
1.94719920000528e-144,0.373696425306287,0.927,0.945,4.89331158961328e-140,"RPS13","CD14 Mono"
4.85726547327204e-141,-0.486832897711241,0.77,0.839,1.22063081343326e-136,"MT-ND5","CD14 Mono"
5.5012041542597e-139,0.874170061685889,0.406,0.198,1.38245260396546e-134,"RPS4Y1","CD14 Mono"
9.82024301956964e-138,0.369360231254698,0.94,0.948,2.46782707081785e-133,"RPL32","CD14 Mono"
8.03616915324546e-133,3.08213619130631,0.122,0.022,2.01948930821058e-128,"AZIN1-AS1","CD14 Mono"
3.53386157285285e-128,0.449820920264262,0.918,0.878,8.88059413257922e-124,"PNRC1","CD14 Mono"
3.70450374760574e-127,0.963816022452503,0.798,0.652,9.30941791773323e-123,"SOD2","CD14 Mono"
9.53941973686303e-127,0.315617065488339,0.928,0.947,2.39725617987368e-122,"RPS24","CD14 Mono"
4.7313675089084e-126,0.67217596717187,0.589,0.363,1.18899265498868e-121,"TMEM176A","CD14 Mono"
2.06586738702273e-122,3.34522019687135,0.361,0.19,5.19152474358813e-118,"DNAJB1","CD14 Mono"
7.90782715584126e-122,0.3004883831515,0.97,0.968,1.98723696426291e-117,"RPL28","CD14 Mono"
1.2588406260513e-120,0.337670312143973,0.917,0.933,3.16346649326692e-116,"RPS27A","CD14 Mono"
1.92616250902658e-120,-1.78524182164823,0.102,0.27,4.84044638518379e-116,"ANPEP","CD14 Mono"
1.11257781674155e-119,0.290452689548329,0.934,0.949,2.79590805347152e-115,"RPL11","CD14 Mono"
1.04022792649321e-118,-0.633772800306875,0.628,0.787,2.61409277927743e-114,"EGR1","CD14 Mono"
7.58154639865476e-117,0.460120275411527,0.977,0.978,1.90524260998194e-112,"DUSP1","CD14 Mono"
1.17346040582779e-116,0.399073501275883,0.939,0.934,2.94890599984523e-112,"RPS19","CD14 Mono"
4.23184734438125e-116,1.06977248930677,0.477,0.289,1.06346323764301e-111,"XBP1","CD14 Mono"
3.83446354906202e-115,-0.486072855704291,0.822,0.891,9.63600689879285e-111,"GNAI2","CD14 Mono"
6.59592352359586e-115,0.543394150689868,0.954,0.928,1.65755558147964e-110,"ZFP36","CD14 Mono"
1.39042869567779e-113,-0.418345495313403,0.838,0.927,3.49414731223828e-109,"ITGB2","CD14 Mono"
1.25966819141986e-109,0.362562675647731,0.937,0.941,3.1655461650381e-105,"RPS12","CD14 Mono"
2.54389286539021e-109,-0.870429106521533,0.557,0.668,6.3928027707256e-105,"BTG2","CD14 Mono"
1.28899603615512e-108,-0.282241439566966,0.964,0.963,3.23924703885783e-104,"MT-ATP6","CD14 Mono"
7.71399125252034e-108,1.12702133350133,0.372,0.204,1.93852600175836e-103,"MAP3K8","CD14 Mono"
1.05799242280947e-105,0.498235749625529,0.855,0.791,2.65873495852019e-101,"RPS5","CD14 Mono"
1.12933472518671e-105,-0.852985593093355,0.6,0.705,2.8380181643942e-101,"RGS2","CD14 Mono"
2.12170319504928e-105,2.02555384172023,0.185,0.067,5.33184012915883e-101,"EREG","CD14 Mono"
